tweet,count
as has the Times itself,6
with his false and highly inaccurate writings on me,14
He is obsessed with hatred,7
just as others are obsessed with how stupid he is,13
He said Market would crash,6
Only Record Highs,5
PRESIDENTIAL HARASSMENT,7
https://t.co/G3f6QBNSMa,19
This should NEVER happen to another President AGAIN,15
https://t.co/9fnYIzjKQX,17
Just spoke to @LouDobbs,6
Will be doing a very interesting show tonight at 7:00 P.M,21
Eastern on @FoxBusiness,7
Today,2
@FLOTUS Melania and I are honored to host the 2019 @WhiteHouse Easter Egg Roll,28
https://t.co/dKxSefCl7H,18
Isn’t it amazing that the people who were closest to me,17
by far,2
and knew the Campaign better than anyone,11
were never even called to testify before Mueller,14
The reason is that the 18 Angry Democrats knew they would all say ‘NO COLLUSION’ and only very good things,29
“A very exculpatory section of the Mueller Report: NO CONSPIRACY,21
COORDINATION or COLLUSION with the Trump Campaign and the Russians,18
You can’t be more clear than that!” @GreggJarrett https://t.co/bcFCtD0DRP,34
“The Obama Administration did not do itself proud in this.” @ByronYork https://t.co/6IDI1vEqFV,39
SOUTHERN BORDER CRISIS,6
@LouDobbs https://t.co/2w3Qt9p8ER,26
Spoke to the Prime Minister of Italy,11
Giuseppe Conte,4
mostly concerning Immigration,9
Taxes,2
Trade,1
and the Economy of both of our countries,13
Very good call,4
Spoke to Prime Minister Ranil Wickremesinghe of Sri Lanka this morning to inform him that the United States stands by him and his country in the fight against terrorism,44
Also expressed condolences on behalf of myself and the People of the United States,24
Spoke to President Maithripala Sirisena of Sri Lanka yesterday to inform him that the United States stands by him and his country in the fight against terrorism,46
Also expressed condolences on behalf of myself and the People of the United States,24
My friend Herman Cain,5
a truly wonderful man,7
has asked me not to nominate him for a seat on the Federal Reserve Board,20
I will respect his wishes,7
Herman is a great American who truly loves our Country,17
Congratulations,5
https://t.co/1qWbGqCCyj,16
Thank you @MarkLevinShow,7
#MAGA https://t.co/kff84hFgKP,26
Only high crimes and misdemeanors can lead to impeachment,15
There were no crimes by me (No Collusion,10
No Obstruction),4
so you can’t impeach,6
It was the Democrats that committed the crimes,12
not your Republican President,9
Tables are finally turning on the Witch Hunt,12
Saudi Arabia and others in OPEC will more than make up the Oil Flow difference in our now Full Sanctions on Iranian Oil,36
Iran is being given VERY BAD advice by @JohnKerry and people who helped him lead the U.S,27
into the very bad Iran Nuclear Deal,12
Big violation of Logan Act?,9
So true - thanks @SteveHiltonx @NextRevFNC,11
https://t.co/2UK8RgzRQL,19
How do you impeach a Republican President for a crime that was committed by the Democrats? MAKE AMERICA GREAT AGAIN,34
Can you believe that I had to go through the worst and most corrupt political Witch Hunt in the history of the United States (No Collusion) when it was the “other side” that illegally created the diversionary &amp; criminal event and even spied on my campaign? Disgraceful,76
Jobless claims in the United States have reached their lowest (BEST) level in over 50 years,23
Despite No Collusion,6
No Obstruction,4
The Radical Left Democrats do not want to go on to Legislate for the good of the people,25
but only to Investigate and waste time,11
This is costing our Country greatly,10
and will cost the Dems big time in 2020,14
The Trump Haters and Angry Democrats who wrote the Mueller Report were devastated by the No Collusion finding,30
Nothing but a total “hit job” which should never have been allowed to start in the first place,22
Do you believe this? The New York Times Op-Ed: MEDIA AND DEMOCRATS OWE TRUMP AN APOLOGY,25
Well,1
they got that one right,5
138 people have been killed in Sri Lanka,16
with more that 600 badly injured,10
in a terrorist attack on churches and hotels,13
The United States offers heartfelt condolences to the great people of Sri Lanka,22
We stand ready to help,6
Happy Easter,4
I have never been happier or more content because your Country is doing so well,22
with an Economy that is the talk of the World and may be stronger than it has ever been before,26
Have a great day,4
Heartfelt condolences from the people of the United States to the people of Sri Lanka on the horrible terrorist attacks on churches and hotels that have killed at least 138 million people and badly injured 600 more,65
We stand ready to help,6
Thank you @JesseBWatters and @DBongino,12
https://t.co/aGH4GBzhqh,16
https://t.co/xiMQFztJlV,15
Good night of television,7
8:00 PM @WattersWorld 9:00 PM @JudgeJeanine with interview of @RudyGiuliani followed by Greg G,36
Honest commentary is always nice,10
Check out @MarkLevinShow: Life,8
Liberty &amp; Levin on @FoxNews now (7pm),16
If @MittRomney spent the same energy fighting Barack Obama as he does fighting Donald Trump,26
he could have won the race (maybe),8
https://t.co/p5imhMJqS1,18
https://t.co/bCvpOGCD4t,18
https://t.co/yoWCQLuxbD,15
The end result of the greatest Witch Hunt in U.S,13
political history is No Collusion with Russia (and No Obstruction),20
Pretty Amazing,5
United States weekly jobless claims just hit a 50 year low,16
The economy is doing GREAT,9
The Fake News Media is doing everything possible to stir up and anger the pols and as many people as possible seldom mentioning the fact that the Mueller Report had as its principle conclusion the fact that there was NO COLLUSION WITH RUSSIA,67
The Russia Hoax is dead,6
Despite the fact that the Mueller Report should not have been authorized in the first place &amp; was written as nastily as possible by 13 (18) Angry Democrats who were true Trump Haters,50
including highly conflicted Bob Mueller himself,13
the end result is No Collusion,9
No Obstruction,4
Wishing a Happy Passover to all those celebrating in America,20
Israel,3
and around the world,5
https://t.co/h3wgLZ4mxS,19
“TRUMP HAS BEEN TOTALLY VINDICATED” https://t.co/ZjmmVD1T4z,29
Time for Democrats to accept reality https://t.co/3SyAnkSVlX,28
The Washington Post and New York Times are,10
in my opinion,5
two of the most dishonest media outlets around,14
Truly,2
the Enemy of the People,8
https://t.co/AG3vccsJvg,16
big,1
fat,1
waste of time,3
energy and money - $30000000 to be exact,16
It is now finally time to turn the tables and bring justice to some very sick and dangerous people who have committed very serious crimes,38
perhaps even Spying or Treason,9
This should never happen again,8
agreed to testify,6
it was not necessary for me to respond to statements made in the “Report” about me,23
some of which are total bullshit &amp; only given to make the other person look good (or me to look bad),28
This was an Illegally Started Hoax that never should have happened,17
a..,1
Statements are made about me by certain people in the Crazy Mueller Report,20
in itself written by 18 Angry Democrat Trump Haters,16
which are fabricated &amp; totally untrue,13
"Watch out for people that take so-called “notes,” when the notes never existed until needed",22
Because I never...,5
Kimberley Strassel should get the Pulitzer,11
She is a treasure (and I don’t know her) who correctly called the Russia Hoax right from the start,24
Others who were soooo wrong will get the Prize,11
Fake News,2
https://t.co/TJJPY5MM6X,19
“The Mueller Report is perhaps the single most humiliating thing that has ever happened to the White House Press in the history of this Country,38
They know they lied...Many reporters lied about Russia Collusion and so much more,21
Clapper &amp; Brennan,6
all lies” @TuckerCarlson,7
“If dozens of Federal prosecutors spent two years trying to charge you with a crime,22
and found they couldn’t,6
it would mean there wasn’t any evidence you did it - and that’s what happened here - that’s what we just learned from the Mueller Report.” @TuckerCarlson,39
When there is not an underlying crime with regard to Collusion (in fact,19
the whole thing was a made up fraud),8
it is difficult to say that someone is obstructing something,16
There was no underlying crime.” @marthamaccallum @FoxNews,17
Anything the Russians did concerning the 2016 Election was done while Obama was President,30
He was told about it and did nothing,10
Most importantly,5
the vote was not affected,7
It was a really great day for America,12
A special evening tonight on @TuckerCarlson,13
@seanhannity &amp; @IngrahamAngle Will be very interesting,21
“Donald Trump was being framed,7
he fought back,3
That is not Obstruction.” @JesseBWatters I had the right to end the whole Witch Hunt if I wanted,25
I could have fired everyone,8
including Mueller,5
if I wanted,4
I chose not to,4
I had the RIGHT to use Executive Privilege,13
I didn’t,4
Today,2
I was thrilled to host the @WWP Soldier Ride once again at the @WhiteHouse,19
We were all deeply honored to be in the presence of TRUE AMERICAN HEROES....https://t.co/q6D5875xCw,46
As I have been saying all along,9
NO COLLUSION - NO OBSTRUCTION,8
https://t.co/BnMB5mvHAM,18
https://t.co/222atp7wuB,26
No Collusion - No Obstruction,8
https://t.co/diggF8V3hl,18
Attorney General William Barr’s Press Conference today at 9:30 AM ET,23
Watch on @FoxNews @OANN,7
PRESIDENTIAL HARASSMENT,7
The Greatest Political Hoax of all time,11
Crimes were committed by Crooked,8
Dirty Cops and DNC/The Democrats,12
Nolte: Poll Shows Media Failed to Gaslight Public About Trump Campaign Spying https://t.co/06OZcBE08b via @BreitbartNews,43
Just had a wonderful conversation with @Pontifex Francis offering condolences from the People of the United States for the horrible and destructive fire at Notre Dame Cathedral,52
I offered the help of our great experts on renovation and construction as I did...,23
in my conversation yesterday with President @EmmanuelMacron of France,21
I also wished both Pope Francis and President Macron a very Happy Easter,21
Democrats in Congress must return from their Vacations and change the Immigration Laws,22
or the Border,4
despite the great job being done by Border Patrol,13
will only get worse,5
Big sections of Wall now being built,9
Wow,1
FBI made 11 payments to Fake Dossier’s discredited author,20
Trump hater Christopher Steele,7
@OANN @JudicialWatch The Witch Hunt has been a total fraud on your President and the American people,29
It was brought to you by Dirty Cops,9
Crooked Hillary and the DNC,10
On Trumps ICC Win,4
Dems and Republicans See Eye to Eye | RealClearPolitics https://t.co/6S6mP6yH3A,38
I believe it will be Crazy Bernie Sanders vs,14
Sleepy Joe Biden as the two finalists to run against maybe the best Economy in the history of our Country (and MANY other great things),40
I look forward to facing whoever it may be,13
May God Rest Their Soul,5
Bernie Sanders and wife should pay the Pre-Trump Taxes on their almost $600000 in income,27
He is always complaining about these big TAX CUTS,13
except when it benefits him,8
They made a fortune off of Trump,8
but so did everyone else - and that’s a good thing,13
not a bad thing,4
Many Trump Fans &amp; Signs were outside of the @FoxNews Studio last night in the now thriving (Thank you President Trump) Bethlehem,34
Pennsylvania,4
for the interview with Crazy Bernie Sanders,12
Big complaints about not being let in-stuffed with Bernie supporters,17
What’s with @FoxNews?,6
Just signed a critical bill to formalize drought contingency plans for the Colorado River,25
Thanks to @SenMcSallyAZ for getting it done,13
Big deal for Arizona,7
No Collusion - No Obstruction,8
https://t.co/cbFOEEyLtM,15
I will be in Green Bay,6
Wisconsin on Saturday,7
April 27th at the Resch Center — 7:00pm (CDT),22
Big crowd expected,5
"#MAGA 
https://t.co/BPYK8PF0O8",26
So weird to watch Crazy Bernie on @FoxNews,12
Not surprisingly,5
@BretBaier and the “audience” was so smiley and nice,15
Very strange,3
and now we have @donnabrazile?,9
No Collusion - No Obstruction,8
A must read,3
Andy McCarthy’s column today,10
“Dirty dealings of dirt devils who concocted Trump-Russia probe.” The greatest Scam in political history,28
If the Mainstream Media were honest,10
which they are not,4
this story would be bigger and more important than Watergate,16
Someday,2
God bless the people of France,7
The forgotten voters of the 2016 Election are now doing great,22
The Steel Industry is rebuilding and expanding at a pace that it hasn’t seen in decades,25
Our Country has one of the best Economies in many years,17
perhaps ever,4
Unemployment numbers best in 51 years,12
Wow,1
So horrible to watch the massive fire at Notre Dame Cathedral in Paris,21
Perhaps flying water tankers could be used to put it out,15
Must act quickly,4
Spoke to @TigerWoods to congratulate him on the great victory he had in yesterday’s @TheMasters,29
&amp; to inform him that because of his incredible Success &amp; Comeback in Sports (Golf) and,25
more importantly,5
LIFE,1
I will be presenting him with the PRESIDENTIAL MEDAL OF FREEDOM,18
Heading to the Great State of Minnesota,11
Since there was no Collusion,7
why was there an Investigation in the first place,13
Answer - Dirty Cops,5
Dems and Crooked Hillary,7
The Mueller Report,5
which was written by 18 Angry Democrats who also happen to be Trump Haters (and Clinton Supporters),28
should have focused on the people who SPIED on my 2016 Campaign,20
and others who fabricated the whole Russia Hoax,13
That is,2
never forget,4
the crime....,2
Those Illegal Immigrants who can no longer be legally held (Congress must fix the laws and loopholes) will be,28
subject to Homeland Security,9
given to Sanctuary Cities and States,11
Mark Morgan,3
President Obama’s Border Patrol Chief,12
gave the following message to me: “President Trump,13
stay the course.” I agree,6
and believe it or not,6
we are making great progress with a system that has been broken for many years,20
I finally agree with @Cher,9
https://t.co/i5acSgUrCk,17
The Radical Left Democrats will never be satisfied with anything we give them,22
They will always Resist and Obstruct,9
THEY SPIED ON MY CAMPAIGN (We will never forget),12
Before Nancy,4
who has lost all control of Congress and is getting nothing done,16
decides to defend her leader,8
Rep,1
Omar,2
she should look at the anti-Semitic,10
anti-Israel and ungrateful U.S,11
HATE statements Omar has made,7
She is out of control,6
except for her control of Nancy,9
Congress should come back to D.C,8
now and FIX THE IMMIGRATION LAWS,9
Mueller,2
and the A.G,4
based on Mueller findings (and great intelligence),12
have already ruled No Collusion,9
No Obstruction,4
These were crimes committed by Crooked Hillary,12
the DNC,4
Dirty Cops and others,6
INVESTIGATE THE INVESTIGATORS,10
What do I know about branding,8
maybe nothing (but I did become President!),12
but if I were Boeing,6
I would FIX the Boeing 737 MAX,16
add some additional great features,9
"&amp; REBRAND the plane with a new name.
No product has suffered like this one",19
But again,3
what the hell do I know?,6
Chinese Telecom Giant Huawei hires former Obama Cyber Security Official as a lobbyist,30
This is not good,4
or acceptable,5
@FoxNews @SteveHiltonx,7
@SteveHiltonx “This is President Trump trying to deliver on his promises while the bureaucratic machine fights his agenda,34
He needs populist allies,7
These changes are not chaos,7
but rather progress,5
All this is President Trump at his absolute best.” Thank you Steve,16
Such a “puff piece” on Nancy Pelosi by @60minutes,16
yet her leadership has passed no meaningful Legislation,15
All they do is Investigate,8
as it turns out,4
crimes that they instigated &amp; committed,12
The Mueller No Collusion decision wasn’t even discussed-and she was a disaster at W.H,29
Love people who are great under pressure,10
What a fantastic life comeback for a really great guy,14
https://t.co/41MtJtYEjq,19
Congratulations to @TigerWoods.,10
a truly Great Champion,7
Watching final hole of @TheMasters,10
@TigerWoods is looking GREAT,8
Great Masters going on right now,8
@TigerWoods is leading with 2 holes left to play,13
Very exciting,5
tune in,2
If the Fed had done its job properly,10
which it has not,4
the Stock Market would have been up 5000 to 10000 additional points,20
and GDP would have been well over 4% instead of 3%...with almost no inflation,26
Quantitative tightening was a killer,11
should have done the exact opposite,9
Just out: The USA has the absolute legal right to have apprehended illegal immigrants transferred to Sanctuary Cities,35
We hereby demand that they be taken care of at the highest level,18
especially by the State of California,11
which is well known or its poor management &amp; high taxes,15
Democrats must change the Immigration Laws FAST,12
If not,2
Sanctuary Cities must immediately ACT to take care of the Illegal Immigrants - and this includes Gang Members,31
Drug Dealers,3
Human Traffickers,5
and Criminals of all shapes,7
sizes and kinds,4
CHANGE THE LAWS NOW,4
So interesting to see the Mayor of Oakland and other Sanctuary Cities NOT WANT our currently “detained immigrants” after release due to the ridiculous court ordered 20 day rule,52
If they don’t want to serve our Nation by taking care of them,17
why should other cities &amp; towns?,9
I never offered Pardons to Homeland Security Officials,17
never ordered anyone to close our Southern Border (although I have the absolute right to do so,27
and may if Mexico does not apprehend the illegals coming to our Border),22
and am not “frustrated.” It is all Fake &amp; Corrupt News,15
When I won the Election in 2016,14
the @nytimes had to beg their fleeing subscribers for forgiveness in that they covered the Election (and me) so badly,31
They didn’t have a clue,7
it was pathetic,5
They even apologized to me,9
But now they are even worse,7
really corrupt reporting,7
The New York Times Sanctuary Cities/Immigration story today was knowingly wrong on almost every fact,31
They never call to check for truth,8
Their sources often don’t even exist,11
a fraud,2
They will lie &amp; cheat anyway possible to make me look bad,17
In 6 years they will be gone.......,7
Great playing by @TigerWoods (at the) @TheMasters,14
Tomorrow will be a big and exciting day for golf and for sports,17
Many fantastic players in the hunt,10
Ratings Gold - Good luck to all,7
Why should Radical Left Democrats in Congress have a right to retry and examine the $35000000 (two years in the making) No Collusion Mueller Report,44
when the crime committed was by Crooked Hillary,13
the DNC and Dirty Cops? Attorney General Barr will make the decision,21
extraordinary growth,7
economic success and riches under the leadership of Chairman Kim,19
I look forward to the day,7
which could be soon,4
when Nuclear Weapons and Sanctions can be removed,13
and then watching North Korea become one of the most successful nations of the World,22
I agree with Kim Jong Un of North Korea that our personal relationship remains very good,27
perhaps the term excellent would be even more accurate,15
and that a third Summit would be good in that we fully understand where we each stand,21
North Korea has tremendous potential for......,12
In New York State,4
Democrats blocked a Bill expanding College Tuition for Gold Star families after approving aid for illegal immigrants,33
No wonder so many people are leaving N.Y,13
Very Sad,3
Another Fake Story on @NBCNews that I offered Pardons to Homeland Securiy personnel in case they broke the law regarding illegal immigration and sanctuary cities,48
Of course this is not true,6
Mainstream Media is corrupt and getting worse,12
if that is possible,6
every day,4
A Fake Story by Politico,9
Made up sources,4
Thank you Mount Vernon,5
https://t.co/Pf60zBy6Sw,22
Finally,3
great news at the Border,6
https://t.co/nofzYa2Qs7,20
Finally great news at the Border,9
https://t.co/nofzYa2Qs7,20
Thank you Jeh,3
so well stated,4
https://t.co/4QmP6XrUVA,20
If the Radical Left Democrats all of a sudden don’t want the Illegal Migrants in their Sanctuary Cities (no more open arms),36
why should others be expected to take them into their communities? Go home and come into our Country legally and through a system of Merit,39
WSJ's Strassel: Barr 'Right' to Say 'Spying' Occurred on Trump Campaign | Breitbart https://t.co/YuC9IX01GF via @BreitbartNews,44
WE WILL NEVER FORGET,6
https://t.co/VxrGFRFeJM,17
Due to the fact that Democrats are unwilling to change our very dangerous immigration laws,26
we are indeed,4
as reported,4
giving strong considerations to placing Illegal Immigrants in Sanctuary Cities only...,26
The Radical Left always seems to have an Open Borders,15
Open Arms policy – so this should make them very happy,15
Even the Democrats now say that our Southern Border is a Crisis and a National Emergency,28
Hopefully,3
we will not be getting any more BAD (outrageous) court decisions,17
“Democrats don’t like the results of the Mueller Report,15
so now they’re trying everything else.” @RepDougCollins They should stop wasting time and money and get back to real legislating,33
especially on the Border,7
President Obama’s top White House lawyer,12
Gregory B,4
Craig,1
was indicted yesterday on very serious charges,15
This is a really big story,8
but the Fake News New York Times didn’t even put it on page one,17
rather page 16,5
@washingtonpost not much better,9
“tiny” page one,4
Corrupt News,3
“I don’t need to know any more,9
We’re done,3
absolutely done,5
he (Mueller) tried the case,6
There’s NO COLLUSION.” @LindseyGrahamSC @foxandfriends No matter what we do or give to the Radical Left,29
it will never be enough,7
JOBLESS CLAIMS AT 50 YEAR LOW,8
Great heroes,3
https://t.co/ltiNOcBBeo,17
“And the Radical Dems reeling in disarray as the President continues to Win,22
Win and Win again,5
The Left is PRETENDING to be shocked by A.G,12
William Barr’s testimony before Congress in which he said SPYING did occur on the Trump 2016 Campaign.” @LouDobbs @FoxNews,38
House Democrats want to negotiate a $2 TRILLION spending increase but can’t even pass their own plan,29
We can’t afford it anyway,9
and it’s not happening,7
Beautiful afternoon in the Oval Office today with a few great American HEROES,24
https://t.co/HYEI83NVrm,21
"""Biggest scandal of our time - the coup that failed!"" @MariaBartiromo https://t.co/7JuifNK79T",42
"""SPY GAMES: TIME FOR ANSWERS"" https://t.co/tRw7fb7Tys",26
Great news,2
#MAGA https://t.co/haZ1HbVpNu,21
Too bad that the European Union is being so tough on the United Kingdom and Brexit,25
The E.U,3
is likewise a brutal trading partner with the United States,16
which will change,3
Sometimes in life you have to let people breathe before it all comes back to bite you,20
I think what the Democrats are doing with the Border is TREASONOUS,18
Their Open Border mindset is putting our Country at risk,16
Will not let this happen,6
CONGRATULATIONS to @EricTrump and @LaraLeaTrump on the great news,21
So proud,2
THANK YOU Texas,4
I love you,3
https://t.co/24D4K9ILFd,21
Join me in Crosby,5
Texas as I deliver remarks and sign Executive Orders on Energy and Infrastructure,26
https://t.co/oun56uzi53,22
So,1
it has now been determined,7
by 18 people that truly hate President Trump,13
that there was No Collusion with Russia,10
In fact,2
it was an illegal investigation that should never have been allowed to start,21
I fought back hard against this Phony &amp; Treasonous Hoax,15
Spoke to Bibi @Netanyahu to congratulate him on a great and hard-fought win,22
The United States is with him and the People of Israel all the way,19
https://t.co/OfFI6aKSOb,18
Trump flags being waived at the Bibi @Netanyahu VICTORY celebration last night,23
https://t.co/SX8RVAALYW,20
Everybody is now acknowledging that,11
right from the time I announced my run for President,13
I was 100% correct on the Border,13
Remember the heat I took? Democrats should now get rid of the loopholes,18
The Border is being fixed,7
Mexico will not let people through,9
The Democrats must end the loopholes on immigration,14
So easy to solve,5
“The underlying issue remains the same without a single American being indicted for Collusion with Russia,32
&amp; that is a stunning end considering we were led to believe (Fake News) that something much more dramatic would happen,31
Why did people fall for this?” @TuckerCarlson Molly H,15
MAKE AMERICA GREAT AGAIN,8
https://t.co/diXWQHuyGj,15
THANK YOU,2
WORKING HARD,3
https://t.co/3OUESGRw43,19
Check this out - TRUTH,4
https://t.co/2HNVeEpKDu,17
Today,2
it was my great honor to welcome President @AlsisiOfficial of the Arab Republic of Egypt to the @WhiteHouse,34
https://t.co/yBox7EhToT,19
"“She (Congresswoman Omar) keeps on assaulting Jews...” 
Jeff Ballabon",17
B2 Strategic,5
CEO https://t.co/WMKN9RQm2n,23
https://t.co/OIpp7mL2uD,20
“What’s completely unacceptable is for Congesswoman Omar to target Jews,22
in this case Stephen Miller.” Jeff Ballabon,11
B2 Strategic,5
CEO,3
@Varneyco,4
On National Former Prisoner of War Recognition Day,16
we honor the Americans captured and imprisoned by foreign powers while carrying out their duties to defend this great Nation...https://t.co/dEVfRo5uy7,50
The Mainstream Media has never been more inaccurate or corrupt than it is today,23
It only seems to get worse,7
So much Fake News,4
I got along very well with Jerry during the zoning and building process,20
Then I changed course (slightly),6
became President,5
and now I am dealing with Congressman Nadler again,15
Some things never end,5
but hopefully it will all go well for everyone,13
Only time will tell,5
Congressman Jerry Nadler fought me for years on a very large development I built on the West Side of Manhattan,31
He wanted a Rail Yard built underneath the development or even better,20
to stop the job,4
He didn’t get either &amp; the development became VERY successful,21
"Nevertheless,...",4
The World Trade Organization finds that the European Union subsidies to Airbus has adversely impacted the United States,35
which will now put Tariffs on $11 Billion of EU products,18
The EU has taken advantage of the U.S,12
on trade for many years,6
It will soon stop,4
Congratulations to Virginia - Great game,11
A 9th Circuit Judge just ruled that Mexico is too dangerous for migrants,21
So unfair to the U.S,7
OUT OF CONTROL,4
https://t.co/XF8o3jMDle,21
Congratulations to the Baylor Lady Bears on their amazing win last night against Notre Dame to become the 2019 NCAA Women’s Basketball National Champions,48
https://t.co/cogqxFgnRn,19
The Democrats will never be satisfied,11
no matter what they get,6
how much they get,4
or how many pages they get,8
It will never end,5
but that’s the way life goes,7
Uganda must find the kidnappers of the American Tourist and guide before people will feel safe in going there,30
Bring them to justice openly and quickly,11
“Jerry Nadler is not entitled to this information,16
He is doing this to get it to the Democrat 2020 nominee.” @KatiePavlich,27
“The reason the whole process seems so politicized is that Democrats made up this complete lie about Collusion ....and none of it happened.” Charles Hurt,37
The Russian Hoax never happened,8
it was a fraud on the American people,12
Mexico must apprehend all illegals and not let them make the long march up to the United States,26
or we will have no other choice than to Close the Border and/or institute Tariffs,22
Our Country is FULL,6
"More apprehensions (captures)
at the Southern Border than in many years",18
Border Patrol amazing,7
Country is FULL,4
System has been broken for many years,10
Democrats in Congress must agree to fix loopholes - No Open Borders (Crimes &amp; Drugs),22
Will Close Southern Border If necessary..,11
I am pleased to announce that Kevin McAleenan,13
the current U.S,5
Customs and Border Protection Commissioner,12
will become Acting Secretary for @DHSgov,13
I have confidence that Kevin will do a great job,13
Secretary of Homeland Security Kirstjen Nielsen will be leaving her position,23
and I would like to thank her for her service...,11
Pleased to report that the American tourist and tour guide that were abducted in Uganda have been released,28
God bless them and their families,8
Looks like Bob Mueller’s team of 13 Trump Haters &amp; Angry Democrats are illegally leaking information to the press while the Fake News Media make up their own stories with or without sources - sources no longer matter to our corrupt &amp; dishonest Mainstream Media,75
they are a Joke,4
In the meantime,4
the Democrats in Congress must help the Republicans (we need their votes) to end the horrible,24
costly and foolish loopholes in our Immigration Laws,15
Once that happens,4
all will be smooth,4
We can NEVER allow Open Borders,10
it’s powerful common sense Immigration Laws to stop illegals from coming through Mexico into the U.S.,30
and removing them back to their country of origin,14
Until Mexico cleans up this ridiculous &amp; massive migration,19
we will be focusing on Border Security,13
not Ports of Entry...,5
We have redeployed 750 agents at the Southern Border’s specific Ports of Entry in order to help with the large scale surge of illegal migrants trying to make their way into the United States,57
This will cause traffic &amp; commercial delays until such time as Mexico is able to use...,25
“Give Up,2
"Trump-Haters”
https://t.co/4wg4BUk9gP https://t.co/0Bt2jyorMn",43
Why should I be defending a fraudulent Russian Witch Hunt,15
It’s about time the perpetrators of this fraud on me and the American People start defending their dishonest and treasonous acts,36
How and why did this terrible event begin? Never Forget,16
To every member of the @RJC,10
thank you for your incredible support and your outstanding commitment to our Country,23
to our safety,5
and to electing MORE REPUBLICANS,10
Over the next 19 months,7
I know that the @RJC will help lead our party to another HISTORIC VICTORY,23
#TrumpAtRJC https://t.co/P1brsp3PxF,25
 against something I knew never existed,11
Collusion with Russia (so ridiculous!) - No Obstruction,15
This Russia Hoax must never happen to another President,16
and Law Enforcement must find out,8
HOW DID IT START?,4
So,1
let’s get this straight,5
There was No Collusion and in fact the Phony Dossier was a Con Job that was paid for by Crooked Hillary and the DNC,33
So the 13 Angry Democrats were investigating an event that never happened and that was in fact a made up Fraud,32
I just fought back...,4
Will be speaking today at the Republican Jewish Coalition (@RJC) meeting in Las Vegas,26
Nevada,3
See everyone soon,5
https://t.co/RvNBLMC2nI,18
So,1
let’s get this straight,5
There was No Collusion and in fact the Phony Dossier was a Con Job that was paid for by Crooked Hillary and the DNC,33
So the 13 Angry Democrats were investigating an event that never happened and that was in fact a made up Fraud,32
I just fought back...,4
years and $30 million,8
and they found No Collusion,7
No Obstruction,4
But the Democrats,5
no matter what we give them,7
will NEVER be satisfied,7
A total waste of time,6
As @FrankLuntz has just stated,8
“Enough,2
America has had enough,8
What have you accomplished,6
Public is fed up.”,5
I have not read the Mueller Report yet,10
even though I have every right to do so,12
Only know the conclusions,7
and on the big one,5
No Collusion,4
Likewise,2
recommendations made to our great A.G,12
who found No Obstruction,6
13 Angry Trump hating Dems (later brought to 18) given two....,17
Thank you to two great people,7
https://t.co/9VoIV44L9c,21
“Collusion was a Hoax from day one.” @dbongino @foxandfriends,17
“The lowest average jobs number for any President since 1951,26
4.1%,5
Economy doing great,7
If the Democrats win,6
it is all over.” @Varneyco @foxandfriends I agree,16
THANK YOU @DHSgov,5
@CBP,4
and @ICEgov,4
https://t.co/BzNwKoUJlg,15
Congratulations David,7
a very big deal,5
https://t.co/ymtI2ueAgA,20
Just checked out the new Wall on the Border - GREAT,11
Leaving now for L.A,6
Join me in California for a Roundtable on Immigration and Border Security,24
https://t.co/hLV86lWTtA,20
Just arrived in Calexico,8
California,4
https://t.co/lTChNxsHj6,15
Will soon be landing in Calexico,10
California to look at a portion of the new WALL being built on our Southern Border,24
Within two years we will have close to 400 miles built or under construction &amp; keeping our Country SAFE – not easy when the Dems are always fighting to stop you,43
The press is doing everything within their power to fight the magnificence of the phrase,23
MAKE AMERICA GREAT AGAIN,8
They can’t stand the fact that this Administration has done more than virtually any other Administration in its first 2yrs,35
They are truly the ENEMY OF THE PEOPLE,12
“America Created 196000 Jobs in March,19
Beating Expectations for 170000” https://t.co/TQ2LecXgfi,34
I’ve employed thousands of Electrical Workers,13
They will be voting for me,7
Congratulations to Brian Hagedorn on his big surprise win over a well funded Liberal Democrat in the Great State of Wisconsin for a very important Supreme Court seat,48
Republicans are producing big for Wisconsin,13
JOBS,1
JOBS,1
JOBS,1
https://t.co/3tukVpJpzN,16
Heading to the Southern Border to show a section of the new Wall being built,20
Leaving now,3
This will supersede USMCA,8
Likewise I am looking at an economic penalty for the 500 Billion Dollars in illegal DRUGS that are shipped and smuggled through Mexico and across our Southern Border,48
Over 10000 Americans die each year,12
sooo many families destroyed,8
However,3
if for any reason Mexico stops apprehending and bringing the illegals back to where they came from,27
the U.S,3
will be forced to Tariff at 25% all cars made in Mexico and shipped over the Border to us,28
If that doesn’t work,6
which it will,3
I will close the Border......,6
The Crazed and Dishonest Washington Post again purposely got it wrong,18
Mexico,3
for the first time in decades,7
is meaningfully apprehending illegals at THEIR Southern Border,18
before the long march up to the U.S,10
This is great and the way it should be,9
The big flow will stop......,5
“Trolling the Mueller Report,7
Democrats Lost On Collusion,8
Now They’re Inventing A Coverup.” @WSJopinion James Freeman @LouDobbs,21
I am pleased to announce that Jovita Carranza will be nominated as the new @SBAgov Administrator,30
She will be replacing Linda McMahon,11
who has done an outstanding job,8
Jovita was a great Treasurer of the United States – and I look forward to her joining my Cabinet,28
@ByronYork: “How bad does border have to be for Democrats to admit it's an emergency?” https://t.co/6LOPQQEKtP,41
